index,period,org_code,attendances,breaches
10326,2018-10-01,RRK,3355,30
10327,2018-10-01,RKB,12519,1937
10328,2018-10-01,RKB,2033,8
10329,2018-10-01,RKB,6025,78
10334,2018-10-01,RJE,15139,2737
10335,2018-10-01,RJE,449,0
10336,2018-10-01,RJE,6627,1
10337,2018-10-01,RBK,6637,1307
10338,2018-10-01,RBK,3532,0
10344,2018-10-01,RWP,10563,4098
10345,2018-10-01,RWP,5866,6
10346,2018-10-01,RLQ,5153,1403
10347,2018-10-01,RLQ,445,0
10632,2018-09-01,RLT,6987,944
10666,2018-09-01,RXK,13581,3004
10667,2018-09-01,RXK,1170,9
10668,2018-09-01,RXK,2989,0
10671,2018-09-01,RXW,9151,3252
10672,2018-09-01,RXW,1897,18
10676,2018-09-01,RJC,5714,326
10677,2018-09-01,RJC,798,0
10681,2018-09-01,RNA,8832,2011
10682,2018-09-01,RNA,4774,0
10683,2018-09-01,RQW,8678,1845
10685,2018-09-01,RL4,11336,1493
10686,2018-09-01,RL4,7506,49
10689,2018-09-01,RRK,29915,6599
10690,2018-09-01,RRK,3491,47
10691,2018-09-01,RKB,11907,1714
10692,2018-09-01,RKB,1834,30
10693,2018-09-01,RKB,5751,11
10698,2018-09-01,RJE,14587,3711
10699,2018-09-01,RJE,433,0
10700,2018-09-01,RJE,5753,7
10701,2018-09-01,RBK,6204,1889
10702,2018-09-01,RBK,3293,0
10708,2018-09-01,RWP,10313,3578
10709,2018-09-01,RWP,5801,9
10710,2018-09-01,RLQ,4917,1245
10711,2018-09-01,RLQ,358,0
10996,2018-08-01,RLT,6818,822
11030,2018-08-01,RXK,13242,2984
11031,2018-08-01,RXK,1254,15
11032,2018-08-01,RXK,2837,0
11035,2018-08-01,RXW,9372,2812
11036,2018-08-01,RXW,1856,15
11040,2018-08-01,RJC,5583,215
11041,2018-08-01,RJC,806,0
11045,2018-08-01,RNA,8360,1622
11046,2018-08-01,RNA,4972,25
11047,2018-08-01,RQW,8373,1544
11049,2018-08-01,RL4,10965,1170
11050,2018-08-01,RL4,7876,52
11053,2018-08-01,RRK,29102,5983
11054,2018-08-01,RRK,3522,29
11055,2018-08-01,RKB,11456,2619
11056,2018-08-01,RKB,1867,21
11057,2018-08-01,RKB,5625,33
11062,2018-08-01,RJE,15000,2005
11063,2018-08-01,RJE,478,0
11064,2018-08-01,RJE,5703,24
11065,2018-08-01,RBK,6074,1756
11066,2018-08-01,RBK,3528,12
11072,2018-08-01,RWP,10358,3856
11073,2018-08-01,RWP,6026,17
11074,2018-08-01,RLQ,5004,1224
11075,2018-08-01,RLQ,401,0
11361,2018-07-01,RLT,7593,739
11395,2018-07-01,RXK,14575,2993
11396,2018-07-01,RXK,1169,8
11397,2018-07-01,RXK,3179,0
11400,2018-07-01,RXW,10176,3085
11401,2018-07-01,RXW,2031,13
11405,2018-07-01,RJC,6181,312
11406,2018-07-01,RJC,977,0
11410,2018-07-01,RNA,9565,2225
11411,2018-07-01,RNA,5795,33
11412,2018-07-01,RQW,9226,2398
11414,2018-07-01,RL4,11844,1651
11415,2018-07-01,RL4,8344,49
11418,2018-07-01,RRK,32209,6499
11419,2018-07-01,RRK,4014,29
11420,2018-07-01,RKB,12643,1868
11421,2018-07-01,RKB,1851,17
11422,2018-07-01,RKB,6100,18
11427,2018-07-01,RJE,16622,3758
11428,2018-07-01,RJE,435,0
11429,2018-07-01,RJE,6495,126
11430,2018-07-01,RBK,6769,2014
11431,2018-07-01,RBK,3706,7
11437,2018-07-01,RWP,11266,3995
11438,2018-07-01,RWP,6974,18
11439,2018-07-01,RLQ,5402,1537
11440,2018-07-01,RLQ,475,0
11731,2018-06-01,RLT,7262,612
11769,2018-06-01,RXK,13812,3391
11770,2018-06-01,RXK,1298,27
11771,2018-06-01,RXK,3148,0
11774,2018-06-01,RXW,9459,2909
11775,2018-06-01,RXW,2003,14
11779,2018-06-01,RJC,6017,272
11780,2018-06-01,RJC,844,0
11784,2018-06-01,RNA,8944,1908
11785,2018-06-01,RNA,5731,10
11786,2018-06-01,RQW,8882,1960
11788,2018-06-01,RL4,11548,1669
11789,2018-06-01,RL4,8278,58
11792,2018-06-01,RRK,10035,1488
11793,2018-06-01,RKB,12368,2157
11794,2018-06-01,RKB,1941,14
11795,2018-06-01,RKB,6196,27
11798,2018-06-01,RJE,16045,3904
11799,2018-06-01,RJE,442,0
11800,2018-06-01,RJE,6557,64
11801,2018-06-01,RBK,6654,1627
11802,2018-06-01,RBK,3566,19
11808,2018-06-01,RWP,10488,3453
11809,2018-06-01,RWP,6615,3
11810,2018-06-01,RLQ,5061,1280
11811,2018-06-01,RLQ,439,0
12102,2018-05-01,RLT,7359,543
12140,2018-05-01,RXK,14389,3716
12141,2018-05-01,RXK,1300,19
12142,2018-05-01,RXK,3077,0
12145,2018-05-01,RXW,9939,3325
12146,2018-05-01,RXW,1912,22
12150,2018-05-01,RJC,5984,372
12151,2018-05-01,RJC,875,0
12155,2018-05-01,RNA,9113,2141
12156,2018-05-01,RNA,5753,31
12157,2018-05-01,RQW,8829,2139
12159,2018-05-01,RL4,11639,1133
12160,2018-05-01,RL4,8906,67
12163,2018-05-01,RRK,10573,1637
12164,2018-05-01,RKB,12362,1847
12165,2018-05-01,RKB,1864,13
12166,2018-05-01,RKB,6192,99
12169,2018-05-01,RJE,16732,3676
12170,2018-05-01,RJE,422,0
12171,2018-05-01,RJE,5967,78
12172,2018-05-01,RBK,6688,1423
12173,2018-05-01,RBK,3671,9
12179,2018-05-01,RWP,10780,3658
12180,2018-05-01,RWP,6472,4
12181,2018-05-01,RLQ,5258,1275
12182,2018-05-01,RLQ,461,0
12474,2018-04-01,RLT,6857,1182
12511,2018-04-01,RXK,12994,2730
12512,2018-04-01,RXK,1209,17
12513,2018-04-01,RXK,2872,0
12516,2018-04-01,RXW,8704,2639
12517,2018-04-01,RXW,1895,22
12521,2018-04-01,RJC,5463,585
12522,2018-04-01,RJC,686,1
12526,2018-04-01,RNA,8259,1892
12527,2018-04-01,RNA,5783,32
12528,2018-04-01,RQW,8193,2157
12530,2018-04-01,RL4,10709,1704
12531,2018-04-01,RL4,8466,58
12534,2018-04-01,RRK,9831,1759
12535,2018-04-01,RKB,11581,2853
12536,2018-04-01,RKB,1775,25
12537,2018-04-01,RKB,5976,57
12540,2018-04-01,RJE,14076,3933
12541,2018-04-01,RJE,407,0
12542,2018-04-01,RJE,6054,171
12543,2018-04-01,RBK,6193,1640
12544,2018-04-01,RBK,3323,1
12550,2018-04-01,RWP,10121,3810
12551,2018-04-01,RWP,5311,0
12552,2018-04-01,RLQ,4802,957
12553,2018-04-01,RLQ,320,0
