index,period,org_code,attendances,breaches,admissions
338,2017-03-01,RA7,9307,1869,2918
340,2017-03-01,RYR,11417,515,3199
342,2017-03-01,RA3,4350,972,1007
347,2017-03-01,RA4,3963,62,1404
348,2017-02-01,RF4,17917,2694,4208
351,2017-02-01,R1H,25955,6186,5820
356,2017-02-01,RQM,14482,1942,3188
358,2017-02-01,RJ6,5761,1374,2021
362,2017-02-01,RVR,10654,534,3003
364,2017-02-01,RJ1,10683,1471,2867
368,2017-02-01,RQX,8790,507,1498
370,2017-02-01,RYJ,8452,2565,2835
373,2017-02-01,RJZ,15070,3754,4017
376,2017-02-01,RAX,7677,1121,1646
378,2017-02-01,RJ2,16054,3095,4397
380,2017-02-01,R1K,10644,4616,4050
384,2017-02-01,RAP,13091,2314,2233
388,2017-02-01,RAL,16388,2485,3255
391,2017-02-01,RJ7,11454,1178,3429
394,2017-02-01,RAS,5179,2175,1697
398,2017-02-01,RKE,7431,995,1181
399,2017-02-01,RRV,10584,1144,1831
404,2017-02-01,RDD,10152,847,2179
405,2017-02-01,RC1,5530,444,1818
407,2017-02-01,RQ3,4586,183,837
408,2017-02-01,RJF,4493,498,1698
410,2017-02-01,RGT,8094,2093,2787
412,2017-02-01,RFS,5840,703,1780
414,2017-02-01,RDE,6371,779,2331
417,2017-02-01,RTG,9800,1367,3279
421,2017-02-01,RWH,8079,1935,2856
425,2017-02-01,RLT,5658,1015,948
428,2017-02-01,RR1,16808,3902,5165
431,2017-02-01,RQQ,3353,765,703
432,2017-02-01,RGQ,6478,723,1885
434,2017-02-01,RGP,5269,683,1159
436,2017-02-01,RNQ,6587,1502,2195
440,2017-02-01,RC9,7677,199,2466
445,2017-02-01,RQ8,6980,838,2121
447,2017-02-01,RD8,6430,1181,1305
450,2017-02-01,RM1,8464,2061,2264
452,2017-02-01,RGN,6853,1104,2107
454,2017-02-01,RNS,7796,1899,2812
458,2017-02-01,RX1,13183,3028,3507
465,2017-02-01,RXK,12951,3034,2869
466,2017-02-01,RXK,1713,12,14
467,2017-02-01,RXK,2520,0,0
468,2017-02-01,RK5,7642,565,2372
470,2017-02-01,RXW,8779,2497,2195
471,2017-02-01,RXW,1525,0,0
475,2017-02-01,RJC,4651,225,1571
476,2017-02-01,RJC,545,0,0
477,2017-02-01,RAJ,7328,1079,2123
480,2017-02-01,RNA,7769,1064,2149
481,2017-02-01,RNA,6072,0,0
482,2017-02-01,RQW,7459,2395,1494
483,2017-02-01,RCX,4553,433,1981
484,2017-02-01,RL4,9797,1689,2276
485,2017-02-01,RL4,8131,156,0
486,2017-02-01,RWD,11196,2759,3123
487,2017-02-01,RRK,8753,1654,2531
488,2017-02-01,RKB,10339,2822,3448
489,2017-02-01,RKB,1843,29,72
490,2017-02-01,RKB,1835,4,0
491,2017-02-01,RWE,10612,2793,3361
