index,period,org_code,attendances,breaches,admissions
3917,2016-04-01,RXK,13407,1569,3175
3922,2016-04-01,RXW,9737,1852,2108
3928,2016-04-01,RJC,5065,250,1557
3933,2016-04-01,RNA,7824,529,2310
3935,2016-04-01,RQW,7781,1984,1851
3938,2016-04-01,RL4,10811,1613,2740
3941,2016-04-01,RRK,9044,1195,2744
3942,2016-04-01,RKB,11187,2972,3577
3948,2016-04-01,RJE,14718,4227,4622
3951,2016-04-01,RBK,6077,913,1757
3958,2016-04-01,RWP,9754,2339,2931
3961,2016-04-01,RLQ,4299,716,823
4220,2018-03-01,RLT,6977,1632,1141
4263,2018-03-01,RXW,8661,3389,2274
4268,2018-03-01,RJC,5592,937,1742
4273,2018-03-01,RNA,8425,2524,1944
4275,2018-03-01,RQW,8546,3030,1621
4277,2018-03-01,RL4,10985,2793,2591
4282,2018-03-01,RKB,12177,3993,4197
4287,2018-03-01,RJE,14321,4968,5091
4290,2018-03-01,RBK,6607,2471,2070
4297,2018-03-01,RWP,10145,4387,3100
4299,2018-03-01,RLQ,4740,1252,1306
4592,2018-02-01,RLT,6232,1389,1030
4630,2018-02-01,RXK,12705,3357,3027
4635,2018-02-01,RXW,7910,3051,2078
4640,2018-02-01,RJC,5121,991,1677
4645,2018-02-01,RNA,7805,2498,1962
4647,2018-02-01,RQW,7584,2801,1471
4649,2018-02-01,RL4,10018,2396,2290
4653,2018-02-01,RRK,9322,2048,3922
4654,2018-02-01,RKB,11114,3874,3892
4659,2018-02-01,RJE,12676,4669,4258
4662,2018-02-01,RBK,5986,2101,1989
4669,2018-02-01,RWP,9160,3817,2801
4671,2018-02-01,RLQ,4338,1387,1222
4964,2018-01-01,RLT,6717,1423,1082
5002,2018-01-01,RXK,14708,3244,3502
5007,2018-01-01,RXW,8580,3489,2273
5012,2018-01-01,RJC,5458,780,1743
5017,2018-01-01,RNA,8741,2591,2427
5019,2018-01-01,RQW,8422,2830,1805
5021,2018-01-01,RL4,11186,2931,2670
5025,2018-01-01,RRK,10083,2181,3947
5026,2018-01-01,RKB,11813,3465,4099
5031,2018-01-01,RJE,13346,6145,4543
5034,2018-01-01,RBK,6610,2416,2220
5041,2018-01-01,RWP,10218,4039,3122
5328,2017-12-01,RLT,6805,1155,1109
5366,2017-12-01,RXK,14643,3814,3363
5371,2017-12-01,RXW,8298,3048,2214
5376,2017-12-01,RJC,5712,891,1778
5381,2017-12-01,RNA,8410,2961,2175
5383,2017-12-01,RQW,8584,2808,1813
5385,2017-12-01,RL4,10705,2314,2598
5389,2017-12-01,RRK,9667,986,3552
5390,2017-12-01,RKB,11597,3160,4067
5395,2017-12-01,RJE,13524,5545,4465
5398,2017-12-01,RBK,6576,2290,2209
5404,2017-12-01,RWP,10225,3663,3159
5406,2017-12-01,RLQ,4696,1314,1346
5690,2017-11-01,RLT,6706,932,1184
5727,2017-11-01,RXK,14676,3161,3150
5732,2017-11-01,RXW,8535,2633,2182
5737,2017-11-01,RJC,5617,490,1767
5741,2017-11-01,RNA,8647,2249,1971
5743,2017-11-01,RQW,8765,2572,1348
5745,2017-11-01,RL4,10892,2120,2563
5749,2017-11-01,RRK,9522,1804,3073
5750,2017-11-01,RKB,11896,2837,4109
5755,2017-11-01,RJE,13843,4455,4538
5758,2017-11-01,RBK,6416,1747,2109
5764,2017-11-01,RWP,9984,2983,2977
5766,2017-11-01,RLQ,4421,847,1193
6047,2017-10-01,RLT,6867,704,1229
6084,2017-10-01,RXK,15212,2798,3163
6089,2017-10-01,RXW,10764,2878,2254
6093,2017-10-01,RJC,5987,529,1831
6097,2017-10-01,RNA,9156,1378,2283
6099,2017-10-01,RQW,8706,2762,1510
6101,2017-10-01,RL4,11436,1500,2694
6105,2017-10-01,RRK,10348,2190,2977
6106,2017-10-01,RKB,12305,2817,4361
6111,2017-10-01,RJE,14081,4498,4568
6114,2017-10-01,RBK,6639,1768,2234
6120,2017-10-01,RWP,10553,2908,3130
6122,2017-10-01,RLQ,4740,1042,1184
6398,2017-09-01,RLT,6680,593,1177
6435,2017-09-01,RXK,14266,2146,3030
6440,2017-09-01,RXW,10133,2265,2220
6444,2017-09-01,RJC,5607,408,1763
6449,2017-09-01,RNA,8563,1586,2290
6451,2017-09-01,RQW,8312,2467,1528
6453,2017-09-01,RL4,10884,1476,2579
6456,2017-09-01,RRK,9693,1683,2801
6457,2017-09-01,RKB,11362,3319,4131
6462,2017-09-01,RJE,13705,4684,4463
6465,2017-09-01,RBK,6235,1752,2089
6473,2017-09-01,RLQ,4596,998,1156
6745,2017-08-01,RLT,6487,305,1122
6783,2017-08-01,RXK,13817,2148,2998
6788,2017-08-01,RXW,10459,2495,2224
6792,2017-08-01,RJC,5259,233,1680
6797,2017-08-01,RNA,8115,1607,2221
6799,2017-08-01,RQW,8139,2039,1843
6801,2017-08-01,RL4,11009,1301,2433
6804,2017-08-01,RRK,9685,1279,2890
6805,2017-08-01,RKB,11093,2352,4080
6810,2017-08-01,RJE,13548,3932,4425
6813,2017-08-01,RBK,5937,1814,2012
6819,2017-08-01,RWP,9896,3093,2983
6821,2017-08-01,RLQ,4703,773,1107
7089,2017-07-01,RLT,7088,722,1138
7128,2017-07-01,RXK,15325,2653,3037
7133,2017-07-01,RXW,11114,2655,2328
7142,2017-07-01,RNA,9056,1563,2374
7144,2017-07-01,RQW,8792,2347,1900
7146,2017-07-01,RL4,11752,1108,2466
7149,2017-07-01,RRK,10189,1357,2938
7150,2017-07-01,RKB,12011,2885,4222
7155,2017-07-01,RJE,15922,4057,4816
7158,2017-07-01,RBK,6461,1804,2068
7164,2017-07-01,RWP,10611,2943,3096
7166,2017-07-01,RLQ,4894,1165,1110
7434,2017-06-01,RLT,6893,342,1220
7473,2017-06-01,RXK,14612,2974,2938
7478,2017-06-01,RXW,10557,2429,2268
7482,2017-06-01,RJC,5590,219,1727
7487,2017-06-01,RNA,8902,888,2426
7489,2017-06-01,RQW,8625,2159,1793
7491,2017-06-01,RL4,11531,1212,2592
7494,2017-06-01,RRK,9505,1190,2776
7495,2017-06-01,RKB,11566,2679,3954
7500,2017-06-01,RJE,14972,3755,4571
7503,2017-06-01,RBK,6261,1501,2043
7511,2017-06-01,RLQ,4680,834,1161
7779,2017-05-01,RLT,6680,263,1223
7818,2017-05-01,RXK,15314,3510,3190
7823,2017-05-01,RXW,10732,2722,2339
7827,2017-05-01,RJC,5672,349,1768
7832,2017-05-01,RNA,9013,1208,2514
7834,2017-05-01,RQW,8649,1897,2017
7836,2017-05-01,RL4,11858,1148,2726
7839,2017-05-01,RRK,10122,1558,2846
7840,2017-05-01,RKB,12090,3288,4155
7845,2017-05-01,RJE,15618,4273,4730
7848,2017-05-01,RBK,6453,1841,1990
7854,2017-05-01,RWP,10386,2813,3144
7856,2017-05-01,RLQ,4747,912,1130
8123,2017-04-01,RLT,6653,460,1077
8162,2017-04-01,RXK,13837,2765,2896
8167,2017-04-01,RXW,9942,1786,2239
8171,2017-04-01,RJC,5402,260,1678
8176,2017-04-01,RNA,8597,1295,2409
8178,2017-04-01,RQW,8164,1714,1767
8180,2017-04-01,RL4,11072,1400,2533
8183,2017-04-01,RRK,9427,1632,2846
8184,2017-04-01,RKB,11589,2309,4097
8190,2017-04-01,RJE,14366,2942,4393
8193,2017-04-01,RBK,6009,1366,1809
8199,2017-04-01,RWP,10048,2904,3100
8201,2017-04-01,RLQ,4515,619,1062
8466,2019-03-01,RLT,7690,1219,1465
8500,2019-03-01,RXK,14139,2626,3687
8505,2019-03-01,RXW,9935,3264,2788
8510,2019-03-01,RJC,6316,274,1974
8515,2019-03-01,RNA,9593,3209,2315
8517,2019-03-01,RQW,9367,2604,2327
8519,2019-03-01,RL4,12471,1819,2973
8523,2019-03-01,RRK,32017,10670,10850
8525,2019-03-01,RKB,13331,3956,4621
8532,2019-03-01,RJE,15539,4077,5981
8535,2019-03-01,RBK,7046,2284,2196
8542,2019-03-01,RWP,10964,3749,3255
8544,2019-03-01,RLQ,5294,791,1531
8824,2019-02-01,RLT,6948,1370,1288
8858,2019-02-01,RXK,12929,2991,3344
8863,2019-02-01,RXW,8797,3602,2594
8868,2019-02-01,RJC,5696,590,1815
8873,2019-02-01,RNA,8277,2680,1885
8875,2019-02-01,RQW,8487,3347,1887
8877,2019-02-01,RL4,11199,2093,2656
8881,2019-02-01,RRK,28898,11376,9789
8883,2019-02-01,RKB,11924,3860,4146
8890,2019-02-01,RJE,14252,4000,5554
8893,2019-02-01,RBK,6256,1875,1995
8900,2019-02-01,RWP,9717,3863,2968
8902,2019-02-01,RLQ,4661,1149,1355
9183,2019-01-01,RLT,6957,1566,1330
9217,2019-01-01,RXK,13809,3956,3846
9222,2019-01-01,RXW,9511,3680,2833
9227,2019-01-01,RJC,5940,657,1965
9232,2019-01-01,RNA,9474,3111,2303
9234,2019-01-01,RQW,9168,2948,2207
9236,2019-01-01,RL4,12311,2377,2932
9240,2019-01-01,RRK,31935,12502,11493
9242,2019-01-01,RKB,12836,3037,4670
9249,2019-01-01,RJE,15183,4257,6323
9252,2019-01-01,RBK,7026,2320,2197
9259,2019-01-01,RWP,10574,4492,3182
9261,2019-01-01,RLQ,4952,1520,1500
9543,2018-12-01,RLT,6969,1537,1349
9582,2018-12-01,RXW,9311,3878,2765
9587,2018-12-01,RJC,5843,524,2000
9592,2018-12-01,RNA,9019,2819,2291
9594,2018-12-01,RQW,9172,2482,2401
9596,2018-12-01,RL4,11494,1440,2873
9600,2018-12-01,RRK,30979,8981,11401
9602,2018-12-01,RKB,12470,2775,4631
9609,2018-12-01,RJE,15225,4101,6129
9612,2018-12-01,RBK,6894,2123,2154
9619,2018-12-01,RWP,10561,4426,3236
9621,2018-12-01,RLQ,5074,1411,1440
9905,2018-11-01,RLT,6940,1510,1274
9939,2018-11-01,RXK,13262,3373,3316
9944,2018-11-01,RXW,9166,3492,2546
9949,2018-11-01,RJC,5821,298,1857
9954,2018-11-01,RNA,9147,2467,2239
9956,2018-11-01,RQW,9296,2540,2413
9958,2018-11-01,RL4,11609,2005,2870
9962,2018-11-01,RRK,30645,8120,11230
9964,2018-11-01,RKB,12660,1889,4617
9971,2018-11-01,RJE,14928,3023,5953
9974,2018-11-01,RBK,6781,1729,2181
9981,2018-11-01,RWP,10227,3894,3119
9983,2018-11-01,RLQ,4952,1447,1293
10268,2018-10-01,RLT,6953,1140,1329
10302,2018-10-01,RXK,13183,3263,3121
10307,2018-10-01,RXW,9372,3291,2366
10312,2018-10-01,RJC,5877,149,1921
10317,2018-10-01,RNA,8930,1704,2255
10319,2018-10-01,RQW,8868,1318,2522
10321,2018-10-01,RL4,11771,1541,2866
10325,2018-10-01,RRK,30570,7089,10770
10334,2018-10-01,RJE,15139,2737,5882
10337,2018-10-01,RBK,6637,1307,2175
10344,2018-10-01,RWP,10563,4098,3137
10346,2018-10-01,RLQ,5153,1403,1313
10632,2018-09-01,RLT,6987,944,1315
10666,2018-09-01,RXK,13581,3004,3106
10671,2018-09-01,RXW,9151,3252,2318
10676,2018-09-01,RJC,5714,326,1785
10681,2018-09-01,RNA,8832,2011,2093
10683,2018-09-01,RQW,8678,1845,2239
10685,2018-09-01,RL4,11336,1493,2743
10689,2018-09-01,RRK,29915,6599,10819
10691,2018-09-01,RKB,11907,1714,4249
10698,2018-09-01,RJE,14587,3711,5607
10701,2018-09-01,RBK,6204,1889,1957
10708,2018-09-01,RWP,10313,3578,3015
10710,2018-09-01,RLQ,4917,1245,1249
10996,2018-08-01,RLT,6818,822,1326
11030,2018-08-01,RXK,13242,2984,3151
11035,2018-08-01,RXW,9372,2812,2472
11040,2018-08-01,RJC,5583,215,1720
11045,2018-08-01,RNA,8360,1622,2298
11047,2018-08-01,RQW,8373,1544,2191
11049,2018-08-01,RL4,10965,1170,2592
11053,2018-08-01,RRK,29102,5983,10519
11055,2018-08-01,RKB,11456,2619,4067
11062,2018-08-01,RJE,15000,2005,5663
11065,2018-08-01,RBK,6074,1756,2020
11072,2018-08-01,RWP,10358,3856,3093
11074,2018-08-01,RLQ,5004,1224,1327
11361,2018-07-01,RLT,7593,739,1419
11395,2018-07-01,RXK,14575,2993,3281
11400,2018-07-01,RXW,10176,3085,2468
11405,2018-07-01,RJC,6181,312,1771
11410,2018-07-01,RNA,9565,2225,2277
11412,2018-07-01,RQW,9226,2398,2125
11414,2018-07-01,RL4,11844,1651,2808
11418,2018-07-01,RRK,32209,6499,11332
11420,2018-07-01,RKB,12643,1868,4273
11427,2018-07-01,RJE,16622,3758,5855
11430,2018-07-01,RBK,6769,2014,2009
11437,2018-07-01,RWP,11266,3995,3210
11439,2018-07-01,RLQ,5402,1537,1360
11731,2018-06-01,RLT,7262,612,1380
11769,2018-06-01,RXK,13812,3391,3120
11774,2018-06-01,RXW,9459,2909,2364
11779,2018-06-01,RJC,6017,272,1791
11784,2018-06-01,RNA,8944,1908,2161
11786,2018-06-01,RQW,8882,1960,2131
11788,2018-06-01,RL4,11548,1669,2646
11792,2018-06-01,RRK,10035,1488,3942
11793,2018-06-01,RKB,12368,2157,4175
11798,2018-06-01,RJE,16045,3904,5753
11801,2018-06-01,RBK,6654,1627,2007
11808,2018-06-01,RWP,10488,3453,2990
11810,2018-06-01,RLQ,5061,1280,1256
12102,2018-05-01,RLT,7359,543,1356
12140,2018-05-01,RXK,14389,3716,3268
12145,2018-05-01,RXW,9939,3325,2448
12150,2018-05-01,RJC,5984,372,1878
12155,2018-05-01,RNA,9113,2141,2115
12157,2018-05-01,RQW,8829,2139,2050
12159,2018-05-01,RL4,11639,1133,2601
12163,2018-05-01,RRK,10573,1637,4044
12164,2018-05-01,RKB,12362,1847,4364
12169,2018-05-01,RJE,16732,3676,5534
12172,2018-05-01,RBK,6688,1423,2010
12179,2018-05-01,RWP,10780,3658,3112
12181,2018-05-01,RLQ,5258,1275,1270
12474,2018-04-01,RLT,6857,1182,1067
12511,2018-04-01,RXK,12994,2730,3231
12516,2018-04-01,RXW,8704,2639,2291
12521,2018-04-01,RJC,5463,585,1717
12526,2018-04-01,RNA,8259,1892,1935
12528,2018-04-01,RQW,8193,2157,1768
12534,2018-04-01,RRK,9831,1759,3842
12535,2018-04-01,RKB,11581,2853,4007
12540,2018-04-01,RJE,14076,3933,5035
12543,2018-04-01,RBK,6193,1640,1947
12550,2018-04-01,RWP,10121,3810,2963
12552,2018-04-01,RLQ,4802,957,1298
